commit	experiment_num	parent_experiment_ids	branch_type	subtree_status	family	tier_reached	status	primary_metric	secondary_metric	protected_metric_summary	architectural_change	description	leakage_guard	seed_list	ig_top_k_overlap_vs_baseline
v1.1.0	0		root	expanded	baseline	0	BASELINE_COMPLETE	0.8551307847082494	0.7516217358546043	val_ece=0.0965, val_prec@spec90=1.000, report_only_test_auc=0.8937	step0_baseline	Published MoFNet v1.1.0 baseline, 3 seeds, synthetic ROS/MAP	PASS_NO_TEST_SELECTION	66,1,7	1.0
v1.1.0+calib	1	0	linear	pruned	calibration	1	TIER1_DISCARD_NO_SIGNAL	0.8597298074159242	0.7272727272727273	val_ece=0.0882, val_prec@spec90=1.000, report_only_test_auc=0.9004	temperature_scaling_head_after_linear4	Add learnable temperature parameter (Family 1 smallest mechanism); paired no-mechanism control is exp 0 baseline	PASS_NO_TEST_SELECTION	66	1.0
v1.1.0+l1_2e-2	2	0	fork	pruned	sparsity	1	TIER1_DISCARD_NO_SIGNAL	0.8473699338890486	0.7128712871287128	val_ece=0.0856, val_prec@spec90=1.000, report_only_test_auc=0.8850	l1_reg=2e-2_on_mofnet1	Higher L1 sparsity (Family 2, fork from baseline); paired no-mechanism control is exp 0 baseline	PASS_NO_TEST_SELECTION	66	1.0
v1.1.0+l1_5e-2	3	0	fork	pruned	sparsity	1	TIER1_DISCARD_METRIC_REGRESSION	0.8470824949698188	0.7128712871287128	val_ece=0.0916, val_prec@spec90=1.000, report_only_test_auc=0.8844	l1_reg=5e-2_on_mofnet1	Even higher L1 (Family 2 second fork)	PASS_NO_TEST_SELECTION	66	1.0
v1.1.0+gating	4	0	linear	expanded	gating	1	TIER1_KEEP_CONTROLLED_SIGNAL	0.8637539522851394	0.72	val_ece=0.0862, val_prec@spec90=1.000, report_only_test_auc=0.8965	per_feature_gate_on_modality_a_and_t1	Cross-omic gating before concat (Family 3); paired no-mechanism control is exp 0 baseline	PASS_NO_TEST_SELECTION	66	1.0
v1.1.0+exp4	5	4	replay	pruned	gating	2	TIER2_FAIL_HIGH_VARIANCE	0.8610711890389958	0.009531344344502006	3 seeds, mean val_ece=0.1196	replay_of_exp_4	Tier 2 multi-seed replay of Tier 1 keep from exp 4	PASS_NO_TEST_SELECTION	1,7,17	0.6999999999999998
